Year,Red Wine (Mill Ltr),White Wine  (Mill Ltr),Total (Mill Ltr)
2013,658,561,1219
2014,609,578,1187
2015,602,589,1191
2016,690,609,1299
2017,764,609,1373
2018,663,611,1274
2019,684,514,1198
2020,612,495,1107
2021,854,628,1482
2022,713,594,1307
2023,519,444,963
